datadate,tocurd,exratd,usd_exratd,exchange_rate
01/06/2019,LKR,232.3202,1.2712,0.0054717584
01/06/2019,EGP,22.7706,1.2712,0.0558263726
01/06/2019,QAR,4.6277,1.2712,0.2746936923
01/06/2019,CLP,867.4218,1.2712,0.0014654923
01/07/2019,USD,1.2758,1.2758,1
01/07/2019,AED,4.6858,1.2758,0.2722694097
01/07/2019,ARS,47.6762,1.2758,0.026759683
01/07/2019,AUD,1.7892,1.2758,0.7130561145
01/07/2019,BDT,107.0868,1.2758,0.0119136999
01/07/2019,BGN,2.1759,1.2758,0.5863320925
01/07/2019,BHD,0.4809,1.2758,2.6529423997
01/07/2019,BMD,1.2758,1.2758,1
01/07/2019,BRL,4.7403,1.2758,0.269139084
01/07/2019,BWP,13.4716,1.2758,0.0947029306
01/07/2019,CAD,1.6978,1.2758,0.7514430439
01/07/2019,CHF,1.2510,1.2758,1.0198241407
01/07/2019,CLP,867.4109,1.2758,0.0014708139
01/07/2019,CNY,8.7404,1.2758,0.1459658597
01/07/2019,COP,4067.2323,1.2758,0.0003136777
01/07/2019,CZK,28.4500,1.2758,0.0448435852
01/07/2019,DKK,8.3079,1.2758,0.1535646794
01/07/2019,EGP,22.8564,1.2758,0.0558180641
01/07/2019,EUR,1.1126,1.2758,1.1466834442
01/07/2019,GBP,1.0000,1.2758,1.2758
01/07/2019,GEL,3.4119,1.2758,0.3739265512
01/07/2019,GHS,6.2407,1.2758,0.2044321951
01/07/2019,NOK,10.8910,1.2758,0.1171425948
01/07/2019,NZD,1.8875,1.2758,0.6759205298
01/07/2019,OMR,0.4911,1.2758,2.5978415801
01/07/2019,PEN,4.2751,1.2758,0.2984257678
01/07/2019,PGK,4.2955,1.2758,0.2970084973
01/07/2019,PHP,66.9006,1.2758,0.0190700831
01/07/2019,PKR,177.1895,1.2758,0.0072002009
01/07/2019,PLN,4.7794,1.2758,0.2669372725
01/07/2019,QAR,4.6441,1.2758,0.2747141534
01/07/2019,RON,5.1856,1.2758,0.2460274607
01/07/2019,RSD,132.4998,1.2758,0.0096286938
01/07/2019,RUB,85.0978,1.2758,0.014992162
01/07/2019,RWF,1121.8473,1.2758,0.0011372314
01/07/2019,SAR,4.7859,1.2758,0.2665747299
