gvkey,number_analyst_following,ibes_year
102730,12,2020
102732,1,2020
102734,4,2020
102740,1,2020
102743,17,2020
102744,6,2020
102746,5,2020
102747,8,2020
102749,1,2020
102753,7,2020
102756,2,2020
102760,1,2020
102761,3,2020
102764,3,2020
102765,11,2020
102769,2,2020
102771,1,2020
102773,4,2020
102774,1,2020
102778,4,2020
102781,1,2020
102783,3,2020
102784,1,2020
102786,1,2020
102787,4,2020
102791,1,2020
102794,1,2020
102797,15,2020
102798,28,2020
102810,2,2020
102812,1,2020
102813,18,2020
102826,2,2020
102829,5,2020
102831,4,2020
102833,2,2020
102835,4,2020
102837,9,2020
102839,12,2020
102840,7,2020
102841,12,2020
102843,1,2020
102844,4,2020
102849,18,2020
102851,1,2020
102852,8,2020
102854,1,2020
102857,2,2020
102858,21,2020
102859,1,2020
102860,4,2020
102862,16,2020
102864,1,2020
102866,1,2020
102867,2,2020
102872,1,2020
102875,3,2020
102876,1,2020
102877,1,2020
102878,1,2020
102881,2,2020
102883,1,2020
102884,2,2020
102885,1,2020
102886,1,2020
102889,12,2020
102890,6,2020
102892,5,2020
102893,13,2020
102895,8,2020
102899,1,2020
102902,28,2020
102903,16,2020
102904,5,2020
102909,1,2020
102912,5,2020
102913,1,2020
102915,19,2020
102916,2,2020
102917,1,2020
102922,1,2020
102923,1,2020
102926,9,2020
102933,1,2020
102938,5,2020
102941,1,2020
102947,6,2020
102949,5,2020
102950,14,2020
102958,1,2020
102960,1,2020
102962,2,2020
102968,12,2020
102980,14,2020
102983,14,2020
103003,11,2020
103015,1,2020
103026,1,2020
103036,4,2020
103038,4,2020
103039,1,2020
103040,1,2020
103041,1,2020
103042,1,2020
103043,9,2020
103044,2,2020
103049,2,2020
103050,2,2020
103051,6,2020
103053,17,2020
103056,2,2020
103065,15,2020
103076,1,2020
103077,2,2020
103078,6,2020
103079,1,2020
103080,2,2020
103084,20,2020
103088,9,2020
103090,3,2020
103131,1,2020
103133,5,2020
103158,4,2020
103172,6,2020
103176,22,2020
103186,11,2020
103188,2,2020
103193,6,2020
103200,18,2020
103205,7,2020
103219,5,2020
103228,17,2020
103260,17,2020
103264,12,2020
103269,16,2020
103279,1,2020
103287,1,2020
